employee_id,name,department,salary,joining_date,email
E46,Employee_29,Human Resources,"57,759",5/5/2019, Employee29@Company.com 
E14,Employee_30,hr,42465,14-05-2021, Employee30@Company.com 
E60,Employee_31,sales,34940,20-07-2019, Employee31@Company.com 
E12,Employee_32,finance,,9/21/2021, Employee32@Company.com 
E52,Employee_33,HR,40789,3/10/2021, Employee33@Company.com 
E37,Employee_34,hr,77874,1/24/2020, Employee34@Company.com 
E8,Employee_35,Finance,"67,957",28-04-2019, Employee35@Company.com 
E65,Employee_36,sales,"85,883",14-06-2019, Employee36@Company.com 
E77,Employee_37,finance,,9/3/2019, Employee37@Company.com 
E75,Employee_38,finance,"68,962",9/8/2022, Employee38@Company.com 
E34,Employee_39,IT,-73891,6/27/2020, Employee39@Company.com 
E86,Employee_40,Human Resources,-49660,1/20/2019, Employee40@Company.com 
E10,Employee_41,hr,-43969,15-12-2020, Employee41@Company.com 
E48,Employee_42,sales,-40338,1/17/2019, Employee42@Company.com 
E85,Employee_43,Human Resources,-87548,8/8/2019, Employee43@Company.com 
E35,Employee_44,IT,-69638,11/8/2022, Employee44@Company.com 
E65,Employee_45,Human Resources,"62,016",7/23/2022, Employee45@Company.com 
E6,Employee_46,Information Technology,,11/27/2019, Employee46@Company.com 
E71,Employee_47,Human Resources,"76,246",6/4/2019, Employee47@Company.com 
E70,Employee_48,finance,,19-09-2019, Employee48@Company.com 
E47,Employee_49,Finance,"88,915",3/6/2020, Employee49@Company.com 
E86,Employee_50,hr,81125,29-04-2020, Employee50@Company.com 
E53,Employee_51,finance,-41754,10/3/2022, Employee51@Company.com 
E35,Employee_52,finance,"40,433",3/21/2019, Employee52@Company.com 
E26,Employee_53,IT,-60166,1/4/2020, Employee53@Company.com 
E52,Employee_54,Information Technology,"51,512",12/20/2020, Employee54@Company.com 
E87,Employee_55,Human Resources,"85,290",18-06-2020, Employee55@Company.com 
E5,Employee_56,Finance,-69096,6/12/2021, Employee56@Company.com 
E50,Employee_57,HR,-67787,12/22/2022, Employee57@Company.com 
E67,Employee_58,Finance,,2/6/2021, Employee58@Company.com 
E80,Employee_59,Information Technology,"50,572",11/4/2021, Employee59@Company.com 
E42,Employee_60,IT,,5/11/2021, Employee60@Company.com 
E87,Employee_61,finance,-89166,27-01-2022, Employee61@Company.com 
E37,Employee_62,Sales,-58173,6/23/2021, Employee62@Company.com 
E66,Employee_63,Human Resources,,8/4/2020, Employee63@Company.com 
E12,Employee_64,IT,-79226,12/2/2020, Employee64@Company.com 
E6,Employee_65,Sales,"46,046",4/28/2021, Employee65@Company.com 
E90,Employee_66,hr,,9/5/2022, Employee66@Company.com 
E14,Employee_67,sales,,9/8/2021, Employee67@Company.com 
E16,Employee_68,sales,82521,2/18/2022, Employee68@Company.com 
E57,Employee_69,sales,77138,2/7/2021, Employee69@Company.com 
E58,Employee_70,sales,-79268,9/19/2021, Employee70@Company.com 
E36,Employee_71,IT,-35077,7/10/2020, Employee71@Company.com 
E70,Employee_72,finance,,22-11-2022, Employee72@Company.com 
E9,Employee_73,finance,51684,8/5/2019, Employee73@Company.com 
E50,Employee_74,finance,"89,299",3/9/2021, Employee74@Company.com 
E39,Employee_75,sales,85931,1/23/2022, Employee75@Company.com 
E63,Employee_76,HR,58562,3/7/2021, Employee76@Company.com 
E22,Employee_77,finance,"85,083",4/27/2022, Employee77@Company.com 
E11,Employee_78,hr,38893,4/13/2019, Employee78@Company.com 
E42,Employee_79,finance,-59799,7/23/2020, Employee79@Company.com 
E11,Employee_80,Finance,"60,822",4/4/2020, Employee80@Company.com 
E84,Employee_81,IT,,2/11/2019, Employee81@Company.com 
E31,Employee_82,IT,"38,272",8/10/2021, Employee82@Company.com 
E48,Employee_83,hr,"40,996",29-09-2020, Employee83@Company.com 
E40,Employee_84,finance,89508,4/1/2023, Employee84@Company.com 
E76,Employee_85,Human Resources,,11/28/2022, Employee85@Company.com 
E73,Employee_86,Finance,52754,5/22/2019, Employee86@Company.com 
E2,Employee_87,Human Resources,83892,6/6/2021, Employee87@Company.com 
E20,Employee_88,sales,-41543,9/17/2021, Employee88@Company.com 
E76,Employee_89,Human Resources,,7/25/2020, Employee89@Company.com 
E60,Employee_90,Finance,73790,2/28/2019, Employee90@Company.com 
E24,Employee_91,Finance,-43901,7/26/2020, Employee91@Company.com 
E72,Employee_92,IT,"30,665",1/14/2023, Employee92@Company.com 
E72,Employee_93,Sales,75259,6/7/2021, Employee93@Company.com 
E38,Employee_94,Information Technology,,9/21/2022, Employee94@Company.com 
E61,Employee_95,sales,52528,11/8/2020, Employee95@Company.com 
E35,Employee_96,IT,"50,094",8/10/2020, Employee96@Company.com 
E25,Employee_97,sales,-78405,5/7/2022, Employee97@Company.com 
E25,Employee_98,Information Technology,,1/29/2019, Employee98@Company.com 
E36,Employee_99,hr,-33573,7/30/2022, Employee99@Company.com 
E2,Employee_100,Sales,60762,28-11-2020, Employee100@Company.com 
